date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-12-13,16349.99000000,16546.00000000,14666.56000000,16033.29000000,12285.671,9085.4106,6824.3777,,15147.711961584615,14309.084524507814,12768.647728718342,9717.866112840691,,74.34688305899209,bear
2017-12-14,16030.34000000,16445.00000000,15450.00000000,16334.98000000,12695.52,9298.310399999998,6944.062800000001,,15411.5493034547,14620.760751506612,13092.859753380311,9954.191608810666,,75.24635662158971,bull
2017-12-15,16334.98000000,17991.00000000,16298.45000000,17539.83000000,13137.510999999999,9531.871599999999,7073.2634,,15884.500569353655,15069.848328197902,13497.129775800284,10225.107265638857,,78.49007997876139,bull
2017-12-16,17516.81000000,19539.00000000,17190.01000000,19102.66000000,13636.242999999999,9798.548200000001,7217.3739000000005,,16599.647109497288,15690.280893090532,14006.723432545712,10542.162720437469,,81.81823896522812,bull
2017-12-17,19120.19000000,19798.68000000,18510.00000000,18860.02000000,14096.744,10061.3558,7363.1461,,17101.95219627567,16177.933063384296,14447.932211405192,10839.229051850416,,79.75495832782549,bear
2017-12-18,18860.04000000,19300.00000000,17029.98000000,18856.25000000,14544.7165,10315.0812,7509.120500000001,,17491.796152658855,16589.981822863636,14848.68837400472,11125.551228570044,,79.72131907915944,bear
2017-12-19,18856.25000000,18950.00000000,16300.00000000,17295.20000000,14925.0825,10538.5752,7640.7688,,17448.108118734664,16698.47692703846,15071.098521822472,11345.895827549686,,67.10081903217973,bear
2017-12-20,17295.20000000,17720.35000000,14777.66000000,16488.98000000,15257.583499999999,10739.094799999999,7763.573899999999,,17234.96853679363,16666.246630571004,15199.99683802043,11529.577405137197,,61.670779838647036,bear
2017-12-21,16480.52000000,17309.50000000,14022.00000000,15492.64000000,15493.066,10913.868,7876.8631,,16847.784417506155,16485.691764329313,15226.600761836755,11671.115354953727,,55.67464635646127,bear
2017-12-22,15514.03000000,15699.34000000,10961.00000000,13326.61000000,15614.895999999999,11040.000600000001,7970.6822999999995,,16065.301213615898,15999.679185201727,15053.874328942504,11730.240163705379,,45.351248131553916,bear
2017-12-23,13326.61000000,14950.00000000,12978.18000000,13300.00000000,15721.6255,11163.6998,8071.7921,,15450.789832812365,15584.343925939922,14894.431208129548,11786.303015001615,,45.24026539021802,bear
2017-12-24,13300.00000000,13819.99000000,11640.00000000,13500.00000000,15817.675500000001,11286.558,8169.7921,,15017.280981076283,15263.675629641473,14767.664734663225,11847.506478751557,,46.303867079218506,bull
2017-12-25,13500.00000000,14300.00000000,12708.00000000,13699.34000000,15917.643000000002,11413.644600000001,8269.636,,14724.405207503776,15023.008609696632,14670.544304239296,11913.643390224715,,47.40046824519711,bull
2017-12-26,13699.34000000,16050.00000000,13533.00000000,15689.01000000,16024.591,11588.2224,8389.5262,,14938.761828058492,15125.470362050995,14763.132094762997,12048.477912002405,,56.86871149840527,bull
2017-12-27,15709.98000000,16498.05000000,14200.15000000,15459.99000000,15967.6405,11756.1414,8503.776,,15054.590310712161,15176.934921735457,14826.482813420907,12170.31762943089,,55.627476731301485,bear
2017-12-28,15459.97000000,15539.99000000,13150.00000000,14182.11000000,15882.746,11893.723600000001,8606.4967,,14860.70579722057,15023.884933776157,14767.90346674628,12242.167356951217,,49.177628817773055,bear
2017-12-29,14199.14000000,14981.00000000,13850.00000000,14378.90000000,15868.8875,12039.701799999999,8711.2857,,14753.637842282666,14924.656482425979,14732.53951522389,12318.479237060103,,50.1364572004238,bull
2017-12-30,14378.99000000,14398.85000000,11750.00000000,12440.01000000,15745.889000000001,12158.3624,8799.5859,,14239.498321775407,14542.403177437367,14524.127741112628,12322.819621450813,,41.77411326287764,bear
2017-12-31,12345.10000000,14050.11000000,12149.98000000,13716.36000000,15602.308500000003,12307.788599999998,8900.7908,,14123.245361380872,14415.319611677773,14450.69431010239,12372.588920684713,,47.93092078713733,bull
2018-01-01,13715.65000000,13818.55000000,12750.00000000,13380.00000000,15453.809,12459.167999999998,8996.7908,,13958.079725518455,14256.039671419654,14353.358463729446,12408.567887803116,,46.534445504058546,bear
2018-01-02,13382.16000000,15473.49000000,12890.02000000,14675.11000000,15385.9,12623.350400000001,9106.941700000001,,14117.419786514354,14320.512029662785,14382.608603390405,12489.515820381575,,52.297415836726536,bull
2018-01-03,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15315.126500000002,12790.240800000001,9216.9293,,14295.66205617783,14412.665563560819,14431.417821264004,12576.30132679652,,53.31996157186566,bull
2018-01-04,14919.51000000,15280.00000000,13918.04000000,15059.54000000,15191.112,12946.6304,9328.7012,,14465.412710360535,14512.184707628385,14488.519837512731,12664.988422268072,,53.92931613093194,bull
2018-01-05,15059.56000000,17176.24000000,14600.00000000,16960.39000000,15083.998500000002,13128.548200000001,9456.3751,,15019.852108058194,14888.831675685557,14713.235306829756,12818.395621472784,,61.31217571057631,bull
2018-01-06,16960.39000000,17143.13000000,16011.21000000,17069.79000000,14994.487,13315.9602,9585.328000000001,,15475.39386182304,15224.363725580086,14927.467551663414,12970.231134991613,,61.692659457746615,bull
2018-01-07,17069.79000000,17099.96000000,15610.00000000,16150.03000000,14859.176000000001,13483.722000000002,9705.081400000001,,15625.313003640144,15366.773921644688,15038.609592421286,13083.795380170484,,56.64846490652212,bear
2018-01-08,16218.85000000,16322.30000000,12812.00000000,14902.54000000,14739.543,13621.0128,9810.3217,,15464.696780609002,15295.353318314736,15026.239629473896,13148.750545164396,,50.60483840730727,bear
2018-01-09,14902.54000000,15500.00000000,14011.05000000,14400.00000000,14635.094000000001,13744.7728,9910.536900000001,,15228.097496029224,15157.606653958623,14969.308754067179,13193.438025694239,,48.36627028259336,bear
2018-01-10,14401.00000000,14955.66000000,13131.31000000,14907.09000000,14605.8165,13880.524400000002,10015.8078,,15156.762496911619,15119.06563027268,14963.652503697434,13254.639881919444,,50.73448145456223,bull
2018-01-11,14940.00000000,14968.68000000,11400.00000000,13238.78000000,14601.425,13981.1816,10105.0956,,14730.544164264593,14829.790917923037,14806.845912452212,13254.073457565179,,43.642424875100836,bear
2018-01-12,13238.76000000,14109.78000000,12500.00000000,13740.01000000,14623.425500000001,14095.582,10200.4098,,14510.425461094683,14662.132315165647,14709.860829502011,13271.428334080709,,46.081105523546,bull
2018-01-13,13749.95000000,14580.00000000,13706.15000000,14210.00000000,14658.925500000001,14217.021999999999,10299.5855,,14443.664247518087,14592.573497447855,14664.418935910919,13304.948750720683,,48.33849218745338,bull
2018-01-14,14210.00000000,14339.50000000,12569.20000000,13474.99000000,14647.707999999999,14312.5216,10390.645400000001,,14228.403303625179,14420.637574763568,14556.28903264629,13311.021652480658,,45.15461413661922,bear
2018-01-15,13477.98000000,14249.99000000,13147.79000000,13539.93000000,14540.253999999997,14400.7598,10481.814699999999,,14075.409236152916,14285.144101723019,14463.892756951172,13319.196950606349,,45.49619526234964,bull
